date,op_count,ip_count,total_footfall,aqi,temperature,humidity,rainfall,is_holiday,is_weekend,is_monday,is_tuesday,is_school_reopening,day_of_week,month,week_of_year,doctors_available,scheduled_followups,active_ip_patients,dow_sin,dow_cos,month_sin,month_cos,week_sin,week_cos,op_lag_7,op_lag_14,op_roll7,op_roll14
2024-01-01,71,14,85,74.5,24.1,69.8,0.0,1,0,1,0,0,0,1,1,20,33,69,0.0,1.0,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,,,,
2024-01-02,195,34,229,89.4,24.3,70.7,0.0,0,0,0,1,1,1,1,1,23,29,166,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,,,,
2024-01-03,163,26,189,111.6,24.4,72.7,0.3,0,0,0,0,1,2,1,1,25,34,123,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,,,,
2024-01-04,152,30,182,92.9,24.2,78.5,3.1,0,0,0,0,1,3,1,1,23,39,140,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,,,,
2024-01-05,148,23,171,66.0,24.4,80.7,5.8,0,0,0,0,1,4,1,1,25,39,114,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,,,,
2024-01-06,171,27,198,57.2,24.7,80.5,15.3,0,1,0,0,1,5,1,1,25,38,104,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,,,,
2024-01-07,186,36,222,71.3,23.9,83.6,4.0,0,1,0,0,1,6,1,1,25,44,142,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,,,,
2024-01-08,202,30,232,55.5,23.7,86.7,6.7,0,0,1,0,1,0,1,2,24,47,135,0.0,1.0,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,71.0,,155.14285714285714,
2024-01-09,171,27,198,36.1,23.3,88.9,14.9,0,0,0,1,1,1,1,2,24,45,114,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,195.0,,173.85714285714286,
2024-01-10,158,28,186,52.8,23.3,79.1,2.2,0,0,0,0,1,2,1,2,25,49,111,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,163.0,,170.42857142857142,
2024-01-11,148,25,173,69.2,23.9,69.7,0.0,0,0,0,0,1,3,1,2,23,53,90,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,152.0,,169.71428571428572,
2024-01-12,152,27,179,74.5,23.5,70.3,0.0,0,0,0,0,1,4,1,2,23,52,121,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,148.0,,169.14285714285714,
2024-01-13,173,26,199,78.2,23.9,70.4,0.0,0,1,0,0,1,5,1,2,25,43,109,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,171.0,,169.71428571428572,
2024-01-14,83,15,98,96.2,24.3,72.4,0.0,1,1,0,0,1,6,1,2,22,48,61,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,186.0,,170.0,
2024-01-15,75,12,87,109.2,24.0,67.3,0.0,1,0,1,0,1,0,1,3,21,40,58,0.0,1.0,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,202.0,71.0,155.28571428571428,155.21428571428572
2024-01-16,196,37,233,128.3,23.9,69.5,0.0,0,0,0,1,0,1,1,3,25,41,154,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,171.0,195.0,137.14285714285714,155.5
2024-01-17,135,23,158,124.2,24.0,65.8,0.0,0,0,0,0,0,2,1,3,25,37,100,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,158.0,163.0,140.71428571428572,155.57142857142858
2024-01-18,112,21,133,95.1,24.4,63.4,0.0,0,0,0,0,0,3,1,3,23,41,87,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,148.0,152.0,137.42857142857142,153.57142857142858
2024-01-19,144,26,170,72.0,25.5,68.5,0.6,0,0,0,0,0,4,1,3,25,34,93,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,152.0,148.0,132.28571428571428,150.71428571428572
2024-01-20,158,25,183,64.6,25.4,68.8,0.2,0,1,0,0,0,5,1,3,24,34,110,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,173.0,171.0,131.14285714285714,150.42857142857142
2024-01-21,139,25,164,75.3,26.0,64.6,0.0,0,1,0,0,0,6,1,3,24,35,88,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,83.0,186.0,129.0,149.5
2024-01-22,161,30,191,74.9,25.7,65.9,0.0,0,0,1,0,0,0,1,4,24,35,127,0.0,1.0,0.49999999999999994,0.8660254037844387,0.4647231720437685,0.8854560256532099,75.0,202.0,137.0,146.14285714285714
